( 0 , 'there are such a large amount of')
( 6286 , 'is completely')
( 6286 , 'is totally')
( 6287 , 'is able')
( 6287 , 'is in a position')
( 6287 , 'is ready')
( 6288 , 'may be a')
( 6288 , 'could be a')
( 6289 , 'is 19')
( 6289 , 'is nineteen')
( 6290 , 'is 18')
( 6290 , 'is eighteen')
( 6291 , 'irrespective of')
( 6291 , 'regardless of')
( 6291 , 'no matter ')
( 6292 , 'into bankruptcy')
( 6292 , 'into chapter 11')
( 6292 , 'out of business')
( 6293 , 'into account')
( 6293 , 'under consideration')
( 6293 , 'into consideration')
( 6294 , 'internet sites')
( 6294 , 'websites')
( 6295 , 'interested in')
( 6295 , 'curious about')
( 6295 , 'inquisitive about')
( 6295 , 'fascinated by')
( 6296 , 'interested by')
( 6296 , 'inquisitive about')
( 6296 , 'interested in')
( 6297 , 'instead of')
( 6297 , 'rather than ')
( 6298 , 'inside of')
( 6298 , 'inside')
( 6298 , 'within')
( 6299 , 'inquisitive about')
( 6299 , 'interested in')
( 6299 , 'interested by')
( 6300 , 'individual that')
( 6300 , 'person who')
( 6300 , 'person that')
( 6301 , 'indisputable fact')
( 6301 , 'incontrovertible fact')
( 6301 , 'proven fact')
( 6301 , 'undeniable fact')
( 6302 , 'incontrovertible fact')
( 6302 , 'undeniable fact')
( 6303 , 'in which')
( 6303 , 'during which')
( 6303 , 'within which')
( 6304 , 'in truth')
( 6304 , 'in fact')
( 6304 , 'in reality')
( 6305 , 'in this')
( 6305 , 'during this')
( 6306 , 'in the')
( 6306 , 'within the ')
( 6307 , 'in short')
( 6307 , 'briefly')
( 6307 , 'in brief')
( 6308 , 'in school')
( 6308 , 'in class')
( 6308 , 'at school')
( 6309 , 'in retrospect')
( 6309 , 'on reflection')
( 6309 , 'looking back')
( 6310 , 'in regards')
( 6310 , 'with regard')
( 6310 , 'with reference')
( 6311 , 'in particular')
( 6311 , 'particularly')
( 6311 , 'specifically ')
( 6312 , 'in part')
( 6312 , 'partially')
( 6312 , 'partly')
( 6313 , 'in more')
( 6313 , 'in additional ')
( 6314 , 'in moderation')
( 6314 , 'carefully')
( 6314 , 'sparsely')
( 6314 , 'moderately')
( 6315 , 'in general')
( 6315 , 'generally')
( 6315 , 'normally')
( 6316 , 'in finding')
( 6316 , 'find')
( 6316 , 'to find')
( 6317 , 'in fact')
( 6317 , 'after all')
( 6317 , 'of course ')
( 6318 , 'in doubt')
( 6318 , 'unsure')
( 6318 , 'doubtful')
( 6319 , 'in different')
( 6319 , 'in several')
( 6319 , 'in numerous')
( 6320 , 'in danger')
( 6320 , 'in peril')
( 6320 , 'at risk')
( 6321 , 'in comparison')
( 6321 , 'as compared')
( 6321 , 'compared')
( 6322 , 'in combination')
( 6322 , 'together')
( 6323 , 'in class')
( 6323 , 'in school')
( 6323 , 'at school ')
( 6324 , 'in brief')
( 6324 , 'in short')
( 6324 , 'briefly')
( 6325 , 'in attaining')
( 6325 , 'in achieving')
( 6325 , 'achieve')
( 6326 , 'important points')
( 6326 , 'details')
( 6326 , 'small print')
( 6327 , 'immune to')
( 6327 , 'resistant to')
( 6327 , 'proof against')
( 6327 , 'proof against ')
( 6328 , 'illegal activity')
( 6328 , 'criminality')
( 6328 , 'criminal activity')
( 6329 , 'i''ll be')
( 6329 , 'i will be')
( 6330 , 'ignorant of')
( 6330 , 'unaware of')
( 6330 , 'blind to')
( 6331 , 'ideally fitted')
( 6331 , 'perfectly suited')
( 6331 , 'ideally suited')
( 6332 , 'idea that')
( 6332 , 'concept that')
( 6333 , 'i''d just')
( 6333 , 'i would just')
( 6333 , 'i''d simply')
( 6334 , 'i wouldn''t')
( 6334 , 'i would not')
( 6335 , 'i would')
( 6335 , 'i might')
( 6335 , 'i''d')
( 6336 , 'i wonder')
( 6336 , 'i''m wondering')
( 6336 , 'i ponder')
( 6337 , 'i wished')
( 6337 , 'i wanted')
( 6337 , 'i needed')
( 6338 , 'i will')
( 6338 , 'i will be able to')
( 6338 , 'i''ll')
( 6339 , 'i was')
( 6339 , 'i used to be')
( 6340 , 'i want')
( 6340 , 'i would like')
( 6340 , 'i need')
( 6341 , 'i use')
( 6341 , 'i exploit')
( 6341 , 'i take advantage of')
( 6342 , 'i truly')
( 6342 , 'i actually')
( 6342 , 'i really')
( 6343 , 'i tried')
( 6343 , 'i attempted')
( 6344 , 'i thought')
( 6344 , 'i assumed')
( 6344 , 'i believed')
( 6345 , 'i think')
( 6345 , 'i feel')
( 6345 , 'i believe')
( 6346 , 'i suspect')
( 6346 , 'i think')
( 6346 , 'i believe')
( 6347 , 'i stopped')
( 6347 , 'i ended')
( 6347 , 'i finished')
( 6348 , 'i stitched')
( 6348 , 'i sewed')
( 6349 , 'i select')
( 6349 , 'i choose')
( 6350 , 'i recommend')
( 6350 , 'i like to recommend')
( 6351 , 'i really')
( 6351 , 'i actually')
( 6352 , 'i realized')
( 6352 , 'i noticed')
( 6352 , 'i spotted')
( 6353 , 'i purchase')
( 6353 , 'i buy')
( 6354 , 'i presumed')
( 6354 , 'i assumed')
( 6354 , 'i thought')
( 6355 , 'i peeked')
( 6355 , 'i glanced')
( 6356 , 'i need')
( 6356 , 'i want')
( 6356 , 'i would like')
( 6357 , 'i myself')
( 6357 , 'i personally')
( 6357 , 'i actually')
( 6358 , 'i must')
( 6358 , 'i need to')
( 6358 , 'i have to')
( 6359 , 'i might')
( 6359 , 'i''d')
( 6359 , 'i would')
( 6360 , 'i mentioned')
( 6360 , 'i discussed')
( 6361 , 'i may')
( 6361 , 'i''ll')
( 6361 , 'i could')
( 6362 , 'i love')
( 6362 , 'i really like')
( 6362 , 'i like')
( 6363 , 'i locate')
( 6363 , 'i find')
( 6364 , 'i lately')
( 6364 , 'i latterly')
( 6364 , 'i recently')
( 6365 , 'i know')
( 6365 , 'i do know ')
( 6366 , 'i haven''t')
( 6366 , 'i have never')
( 6366 , 'i have not')
( 6367 , 'i have')
( 6367 , 'i''ve got')
( 6368 , 'I have')
( 6368 , 'I even have')
( 6368 , 'I actually have ')
( 6369 , 'i guess')
( 6369 , 'i assume')
( 6369 , 'i suppose')
( 6370 , 'i go')
( 6370 , 'i''m going')
( 6370 , 'i am going')
( 6371 , 'i glance')
( 6371 , 'i look')
( 6372 , 'i buy')
( 6372 , 'i purchase')
( 6373 , 'i eventually')
( 6373 , 'i ultimately')
( 6373 , 'i finally')
( 6374 , 'i don''t')
( 6374 , 'i do not')
( 6375 , 'i determined')
( 6375 , 'i decided')
( 6375 , 'i made up my mind')
( 6376 , 'i decided')
( 6376 , 'i made a decision')
( 6377 , 'i couldn''t')
( 6377 , 'i could not')
( 6378 , 'i choose')
( 6378 , 'i select')
( 6379 , 'i change')
( 6379 , 'i modify')
( 6379 , 'i alter ')
( 6380 , 'i can''t')
( 6380 , 'i can not')
( 6380 , 'i am unable to')
( 6381 , 'i believe')
( 6381 , 'i think')
( 6381 , 'i feel')
( 6382 , 'i began')
( 6382 , 'i started')
( 6383 , 'i beg')
( 6383 , 'i urge')
( 6383 , 'i encourage')
( 6384 , 'i advise')
( 6384 , 'i counsel')
( 6385 , 'i adore')
( 6385 , 'i am keen on')
( 6385 , 'i like')
( 6386 , 'i admire')
( 6386 , 'i like')
( 6386 , 'i love')
( 6387 , 'hunting for')
( 6387 , 'looking for')
( 6387 , 'attempting to find')
( 6387 , 'trying to find')
( 6388 , 'hunt down')
( 6388 , 'seek out')
( 6388 , 'search out')
( 6389 , 'how to')
( 6389 , 'the way to')
( 6389 , 'a way to')
( 6390 , 'what proportion')
( 6390 , 'what quantity')
( 6391 , 'how many')
( 6391 , 'what percentage')
( 6391 , 'what number')
( 6392 , 'how fast')
( 6392 , 'how briskly')
( 6393 , 'household items')
( 6393 , 'home items')
( 6393 , 'home goods')
( 6394 , 'house owners')
( 6394 , 'homeowners')
( 6394 , 'householders')
( 6395 , 'house is')
( 6395 , 'home is')
( 6396 , 'hospital therapy')
( 6396 , 'medical care')
( 6396 , 'hospital treatment')
( 6397 , 'hooked up')
( 6397 , 'attached')
( 6397 , 'connected')
( 6398 , 'home made')
( 6398 , 'hand-crafted')
( 6398 , 'handmade')
( 6399 , 'home is')
( 6399 , 'house is')
( 6400 , 'highly intelligent')
( 6400 , 'extremely smart')
( 6400 , 'very smart')
( 6401 , 'high school')
( 6401 , 'highschool')
( 6402 , 'high quality')
( 6402 , 'top quality')
( 6402 , 'prime quality')
( 6403 , 'he''s not')
( 6403 , 'he is not')
( 6403 , 'he isn''t')
( 6404 , 'help you')
( 6404 , 'facilitate your ')
( 6405 , 'help you')
( 6405 , 'assist you ')
( 6406 , 'help will')
( 6406 , 'assistance will')
( 6407 , 'help on')
( 6407 , 'assistance on')
( 6408 , 'help is')
( 6408 , 'assistance is')
( 6409 , 'hefty dose')
( 6409 , 'hearty dose')
( 6409 , 'healthy dose')
( 6410 , 'heavily produced')
( 6410 , 'mass-produced')
( 6410 , 'industrially produced')
( 6411 , 'he changes')
( 6411 , 'he modifies')
( 6411 , 'he alters')
( 6412 , 'haven''t begun')
( 6412 , 'have not begun')
( 6412 , 'have yet')
( 6413 , 'haven''t any')
( 6413 , 'have no')
( 6413 , 'don''t have any')
( 6414 , 'have you')
( 6414 , 'have you ever')
( 6415 , 'have to')
( 6415 , 'need to')
( 6415 , 'should')
( 6415 , 'must ')
( 6416 , 'have other')
( 6416 , 'produce other')
( 6417 , 'have nothing')
( 6417 , 'don''t have anything')
( 6418 , 'have not')
( 6418 , 'haven''t')
( 6419 , 'have no')
( 6419 , 'haven''t any')
( 6419 , 'don''t have any')
( 6420 , 'haven''t')
( 6420 , 'have not')
( 6421 , 'have interaction')
( 6421 , 'interact')
( 6421 , 'engage')
( 6422 , 'have got')
( 6422 , 'have gotten')
( 6423 , 'have compatibility')
( 6423 , 'are compatible')
( 6423 , 'fit')
( 6424 , 'have become')
( 6424 , 'became')
( 6425 , 'haute couture')
( 6425 , 'high fashion')
( 6426 , 'hasn''t ever')
( 6426 , 'has never')
( 6427 , 'has similarities')
( 6427 , 'is analogous')
( 6427 , 'is similar')
( 6428 , 'features a')
( 6428 , 'includes a')
( 6428 , 'contains a')
( 6428 , 'encompasses a')
( 6428 , 'incorporates a')
( 6429 , 'hardware store')
( 6429 , 'ironmongery shop')
( 6429 , 'ironmongery store')
( 6430 , 'hard earned')
( 6430 , 'hard-earned')
( 6431 , 'happy with')
( 6431 , 'proud of')
( 6431 , 'pleased with')
( 6432 , 'hang out')
( 6432 , 'hang around')
( 6433 , 'handy gizmo')
( 6433 , 'handy tool')
( 6433 , 'great tool')
( 6434 , 'hand made')
( 6434 , 'handcrafted')
( 6435 , 'hand held')
( 6435 , 'hand-held')
( 6435 , 'handheld')
( 6436 , 'guiding principle')
( 6436 , 'guideline')
( 6436 , 'tenet')
( 6437 , 'guard yourself')
( 6437 , 'protect yourself')
( 6437 , 'provide yourself with protection')
( 6438 , 'grow older')
( 6438 , 'get older')
( 6439 , 'great way')
( 6439 , 'good way')
( 6440 , 'great tool')
( 6440 , 'useful gizmo')
( 6440 , 'great tool ')
( 6441 , 'great thing')
( 6441 , 'great point')
( 6441 , 'good thing')
( 6442 , 'great spot')
( 6442 , 'great place')
( 6442 , 'good spot')
( 6443 , 'great place')
( 6443 , 'excellent spot')
( 6443 , 'great spot')
( 6443 , 'good spot')
( 6443 , 'excellent place')
( 6444 , 'great amount')
( 6444 , 'large amount')
( 6445 , 'great addition')
( 6445 , 'welcome addition')
( 6445 , 'welcome boost')
( 6446 , 'good way')
( 6446 , 'great way')
( 6447 , 'good stuff')
( 6447 , 'great things')
( 6447 , 'good things')
( 6448 , 'good spot')
( 6448 , 'great place')
( 6448 , 'great spot')
( 6449 , 'good shape')
( 6449 , 'fine condition')
( 6449 , 'good condition')
( 6450 , 'good selection')
( 6450 , 'good choice')
( 6450 , 'sensible choice')
( 6450 , 'wide selection')
( 6450 , 'big choice')
( 6450 , 'large choice')
( 6450 , 'wide variety')
( 6451 , 'good news')
( 6451 , 'excellent news')
( 6452 , 'good looks')
( 6452 , 'attractiveness')
( 6452 , 'beauty')
( 6453 , 'good fortune')
( 6453 , 'luck')
( 6453 , 'success')
( 6454 , 'good enough')
( 6454 , 'ok')
( 6454 , 'adequate')
( 6455 , 'good distance')
( 6455 , 'long way')
( 6455 , 'good way')
( 6456 , 'good choice')
( 6456 , 'good selection')
( 6456 , 'sensible choice')
( 6457 , 'good care')
( 6457 , 'excellent care')
( 6458 , 'going online')
( 6458 , 'logging on')
( 6458 , 'going surfing ')
( 6459 , 'going on')
( 6459 , 'happening')
( 6459 , 'occurring')
( 6460 , 'going down')
( 6460 , 'taking place')
( 6460 , 'happening')
( 6461 , 'go through')
( 6461 , 'undergo')
( 6462 , 'go surfing')
( 6462 , 'log on')
( 6462 , 'go online')
( 6463 , 'go searching')
( 6463 , 'search around')
( 6464 , 'go online')
( 6464 , 'go browsing')
( 6464 , 'log on')
( 6464 , 'go surfing')
( 6465 , 'go looking')
( 6465 , 'go searching')
( 6466 , 'go browsing')
( 6466 , 'go online')
( 6466 , 'log on ')
( 6467 , 'go beyond')
( 6467 , 'transcend')
( 6468 , 'go back')
( 6468 , 'return')
( 6469 , 'giving you')
( 6469 , 'supplying you with')
( 6469 , 'providing you with')
( 6470 , 'give you')
( 6470 , 'offer you')
( 6470 , 'provide you with')
( 6471 , 'give up')
( 6471 , 'hand over')
( 6471 , 'surrender')
( 6471 , 'quit')
( 6472 , 'give thought')
( 6472 , 'think about')
( 6473 , 'getting showered')
( 6473 , 'taking a shower')
( 6473 , 'having a shower')
( 6474 , 'getting ready')
( 6474 , 'preparing ')
( 6475 , 'getting concerned')
( 6475 , 'getting involved')
( 6475 , 'becoming concerned')
( 6476 , 'getting bored')
( 6476 , 'becoming bored')
( 6476 , 'losing interest')
( 6477 , 'get started')
( 6477 , 'start')
( 6478 , 'get ready')
( 6478 , 'prepare')
( 6479 , 'get involved')
( 6479 , 'become involved')
( 6479 , 'get entangled')
( 6480 , 'get ill')
( 6480 , 'fall ill')
( 6480 , 'get sick')
( 6481 , 'get dressed')
( 6481 , 'dress')
( 6482 , 'get advantages')
( 6482 , 'receive advantages')
( 6482 , 'benefit')
( 6483 , 'generally tend')
( 6483 , 'have a tendency')
( 6483 , 'tend')
( 6484 , 'future of')
( 6484 , 'way forward for')
( 6485 , 'further from')
( 6485 , 'farther from')
( 6486 , 'full of')
( 6486 , 'filled with')
( 6486 , 'stuffed with')
( 6487 , 'fulfillment')
( 6487 , 'achievement')
( 6487 , 'success')
( 6488 , 'frequently asked')
( 6488 , 'commonly asked')
( 6489 , 'freed from')
( 6489 , 'free of')
( 6490 , 'free up')
( 6490 , 'release')
( 6490 , 'unlock')
( 6490 , 'unencumber')
( 6490 , 'liberate')
( 6491 , 'free of')
( 6491 , 'freed from')
( 6492 , 'founder of')
( 6492 , 'founding father of')
( 6493 , 'found out')
( 6493 , 'discovered')
( 6493 , 'revealed')
( 6494 , 'forty five')
( 6494 , '45')
( 6495 , 'forged iron')
( 6495 , 'cast iron')
( 6495 , 'cast-iron')
( 6496 , 'for youths')
( 6496 , 'for teens')
( 6496 , 'for teenagers')
( 6497 , 'for youngsters')
( 6497 , 'for kids')
( 6497 , 'for children')
( 6498 , 'for women')
( 6498 , 'for ladies')
( 6498 , 'for girls')
( 6499 , 'for ways')
( 6499 , 'for tactics')
( 6499 , 'for methods')
( 6500 , 'for washing')
( 6500 , 'for laundry')
( 6501 , 'for visualisation')
( 6501 , 'for visualization')
( 6502 , 'for varied')
( 6502 , 'for various')
( 6502 , 'for diverse')
( 6503 , 'for use')
( 6503 , 'to be used ')
( 6504 , 'for two')
( 6504 , 'for 2')
( 6505 , 'for twenty-four')
( 6505 , 'for 24')
( 6506 , 'for trio')
( 6506 , 'for threesome')
( 6507 , 'for toilets')
( 6507 , 'for bogs')
( 6507 , 'for bathrooms')
( 6508 , 'for toilet')
( 6508 , 'for bathroom')
( 6508 , 'for lavatory')
( 6509 , 'for three')
( 6509 , 'for 3')
( 6510 , 'for thin')
( 6510 , 'for skinny')
( 6511 , 'for their')
( 6511 , 'for his or her')
( 6512 , 'for that''s')
( 6512 , 'for that is')
( 6513 , 'for terribly')
( 6513 , 'for very')
( 6513 , 'for extraordinarily')
( 6514 , 'for terrible')
( 6514 , 'for awful')
( 6514 , 'for horrible')
( 6515 , 'for surprising')
( 6515 , 'for startling')
( 6515 , 'for astonishing')
( 6516 , 'for success')
( 6516 , 'for fulfillment')
( 6516 , 'for achievement')
( 6517 , 'for sturdiness')
( 6517 , 'for durability')
( 6518 , 'for students')
( 6518 , 'for college kids')
( 6518 , 'for college students')
( 6519 , 'for stimulating')
( 6519 , 'for exciting')
( 6520 , 'for standard')
( 6520 , 'for normal')
( 6520 , 'for traditional')
( 6521 , 'for staff')
( 6521 , 'for workers')
( 6521 , 'for employees')
( 6522 , 'for speedy')
( 6522 , 'for quick')
( 6522 , 'for fast')
( 6523 , 'for specialized')
( 6523 , 'for specialised')
( 6524 , 'for sophisticated')
( 6524 , 'for classy')
( 6524 , 'for stylish')
( 6525 , 'for someone')
( 6525 , 'for somebody')
( 6526 , 'for so')
( 6526 , 'for therefore')
( 6526 , 'for thus')
( 6527 , 'for slim')
( 6527 , 'for slender')
( 6528 , 'for simpler')
( 6528 , 'for less complicated')
( 6528 , 'for easier')
( 6529 , 'for simple')
( 6529 , 'for easy')
( 6529 , 'for straightforward')
( 6530 , 'for short')
( 6530 , 'for brief')
( 6531 , 'for shops')
( 6531 , 'for outlets')
( 6531 , 'for retailers')
( 6532 , 'for sewing')
( 6532 , 'for stitching')
( 6533 , 'for selecting')
( 6533 , 'for choosing')
( 6534 , 'for school')
( 6534 , 'for college')
( 6534 , 'for varsity')
( 6535 , 'for romance')
( 6535 , 'for love')
( 6536 , 'for reproduction')
( 6536 , 'for copy')
( 6536 , 'for replica')
( 6537 , 'for remodeling')
( 6537 , 'for reworking')
( 6537 , 'for transforming')
( 6538 , 'for regular')
( 6538 , 'for normal')
( 6539 , 'for protection')
( 6539 , 'for cover')
( 6539 , 'for defense')
( 6540 , 'for protecting')
( 6540 , 'for shielding')
( 6540 , 'for safeguarding')
( 6541 , 'for properly')
( 6541 , 'for correctly')
( 6542 , 'for proper')
( 6542 , 'for correct')
( 6543 , 'for pro')
( 6543 , 'for professional')
( 6544 , 'for private')
( 6544 , 'for personal')
( 6545 , 'for presented')
( 6545 , 'for gifted')
( 6546 , 'for plenty')
( 6546 , 'for lots')
( 6546 , 'for many')
( 6547 , 'for playing')
( 6547 , 'for enjoying')
( 6547 , 'for taking part in')
( 6548 , 'for playful')
( 6548 , 'for frolicsome')
( 6549 , 'for placing')
( 6549 , 'for putting')
( 6550 , 'for picking')
( 6550 , 'for selecting')
( 6550 , 'for choosing')
( 6551 , 'for personal')
( 6551 , 'for private')
( 6552 , 'for permitting')
( 6552 , 'for allowing')
( 6553 , 'for parents')
( 6553 , 'for folks')
( 6553 , 'for fogeys')
( 6554 , 'for outside')
( 6554 , 'for outdoor')
( 6554 , 'for out of doors')
( 6555 , 'for only')
( 6555 , 'for less than')
( 6555 , 'for under')
( 6556 , 'for oldsters')
( 6556 , 'for parents')
( 6556 , 'for folks')
( 6557 , 'for old-fashioned')
( 6557 , 'for old school')
( 6557 , 'for old style')
( 6558 , 'for oily')
( 6558 , 'for greasy')
( 6558 , 'for shiny')
( 6559 , 'for often')
( 6559 , 'for sometimes')
( 6559 , 'for occasionally')
( 6560 , 'for occasional')
( 6560 , 'for infrequent')
( 6561 , 'for numerous')
( 6561 , 'for varied')
( 6561 , 'for various')
( 6562 , 'for newbie')
( 6562 , 'for beginner')
( 6562 , 'for amateur')
( 6563 , 'for new')
( 6563 , 'for brand spanking new')
( 6563 , 'for brand new')
( 6564 , 'for most')
( 6564 , 'for many')
( 6565 , 'for modern')
( 6565 , 'for contemporary')
( 6566 , 'for maximum')
( 6566 , 'for max')
( 6566 , 'for optimum')
( 6567 , 'for massive')
( 6567 , 'for enormous')
( 6567 , 'for large')
( 6568 , 'for lavatory')
( 6568 , 'for toilet')
( 6568 , 'for bathroom')
( 6569 , 'for lavatories')
( 6569 , 'for bogs')
( 6569 , 'for bathrooms')
( 6570 , 'for latest')
( 6570 , 'for up to date')
( 6570 , 'for contemporary')
( 6571 , 'for large')
( 6571 , 'for giant')
( 6571 , 'for big')
( 6572 , 'for lady')
( 6572 , 'for woman')
( 6572 , 'for girl')
( 6573 , 'for ladies')
( 6573 , 'for girls')
( 6573 , 'for women')
( 6574 , 'for kids')
( 6574 , 'for teenagers')
( 6574 , 'for youths')
( 6575 , 'for instant')
( 6575 , 'for fast')
( 6575 , 'for immediate')
( 6576 , 'for instance')
( 6576 , 'as an example')
( 6576 , 'for example')
( 6577 , 'for inspiring')
( 6577 , 'for uplifting')
( 6578 , 'for informal')
( 6578 , 'for casual')
( 6579 , 'for info')
( 6579 , 'for information')
( 6580 , 'for inexpensive')
( 6580 , 'for cheap')
( 6581 , 'for individuals')
( 6581 , 'for people')
( 6582 , 'for humanities')
( 6582 , 'for arts')
( 6583 , 'for how')
( 6583 , 'for a way')
( 6583 , 'for the way')
( 6584 , 'for hotter')
( 6584 , 'for warmer')
( 6585 , 'for hot')
( 6585 , 'for decent')
( 6585 , 'for warm')
( 6586 , 'for high')
( 6586 , 'for top')
( 6586 , 'for prime')
( 6587 , 'for heat')
( 6587 , 'for warmth')
( 6588 , 'for great')
( 6588 , 'for nice')
( 6588 , 'for excellent')
( 6589 , 'for government')
( 6589 , 'for presidency')
( 6590 , 'for gorgeous')
( 6590 , 'for beautiful')
( 6591 , 'for golfing')
( 6592 , 'for girls')
( 6592 , 'for women')
( 6592 , 'for ladies')
( 6593 , 'for gifted')
( 6593 , 'for presented')
( 6594 , 'for giant')
( 6594 , 'for large')
( 6594 , 'for big')
( 6595 , 'for fri.')
( 6595 , 'for friday')
( 6596 , 'for free')
( 6596 , 'at no cost')
( 6597 , 'for folks')
( 6597 , 'for people')
( 6597 , 'for folk')
( 6598 , 'for folk')
( 6598 , 'for people')
( 6598 , 'for folks')
( 6599 , 'for flats')
( 6599 , 'for studios')
( 6599 , 'for residences')
( 6600 , 'for finding')
( 6600 , 'for locating')
( 6601 , 'for fifty')
( 6601 , 'for 50')
( 6602 , 'for far')
( 6602 , 'for much')
( 6602 , 'for a lot')
( 6603 , 'for fantastic')
( 6603 , 'for wonderful')
( 6603 , 'for amazing')
( 6604 , 'for fabric')
( 6604 , 'for cloth')
( 6604 , 'for material')
( 6605 , 'for extremely')
( 6605 , 'for very')
( 6605 , 'for terribly')
( 6606 , 'for experienced')
( 6606 , 'for knowledgeable')
( 6606 , 'for skilled')
( 6607 , 'for everyone')
( 6607 , 'for everybody')
( 6608 , 'for everybody')
( 6608 , 'for everyone')
( 6609 , 'for every')
( 6609 , 'for each')
( 6610 , 'for enormous')
( 6610 , 'for huge')
( 6610 , 'for big')
( 6611 , 'for employees')
( 6611 , 'for workers')
( 6612 , 'for eaterie')
( 6612 , 'for restaurant')
( 6612 , 'for restaurant')
( 6613 , 'for easy')
( 6613 , 'for straightforward')
( 6613 , 'for simple')
( 6614 , 'for easing')
( 6614 , 'for alleviating')
( 6614 , 'for relieving')
( 6615 , 'for discovering')
( 6615 , 'for locating')
( 6616 , 'for disagreeing')
( 6616 , 'for arguing')
( 6617 , 'for directing')
( 6617 , 'for guiding')
( 6617 , 'for steering')
( 6618 , 'for different')
( 6618 , 'for various')
( 6619 , 'for defining')
( 6619 , 'for outlining')
( 6620 , 'for decoration')
( 6620 , 'for adornment')
( 6621 , 'for decades')
( 6621 , 'for many years')
( 6622 , 'for customization')
( 6622 , 'for personalisation')
( 6622 , 'for personalization')
( 6623 , 'for customers')
( 6623 , 'for patrons')
( 6623 , 'for purchasers')
( 6624 , 'for cupboards')
( 6624 , 'for cabinets')
( 6625 , 'for cultured')
( 6625 , 'for classy')
( 6625 , 'for aesthetic')
( 6626 , 'for cover')
( 6626 , 'for canopy')
( 6627 , 'for correctly')
( 6627 , 'for properly')
( 6628 , 'for correct')
( 6628 , 'for proper')
( 6629 , 'for corporations')
( 6629 , 'for companies')
( 6629 , 'for firms')
( 6630 , 'for containing')
( 6630 , 'for holding')
( 6631 , 'for concepts')
( 6631 , 'for ideas')
( 6631 , 'for ideas')
( 6632 , 'for complicated')
( 6632 , 'for sophisticated')
( 6632 , 'for classy')
( 6633 , 'for college')
( 6633 , 'for school')
( 6633 , 'for faculty')
( 6634 , 'for clothes')
( 6634 , 'for garments')
( 6635 , 'for classy')
( 6635 , 'for stylish')
( 6635 , 'for sophisticated')
( 6636 , 'for classic')
( 6636 , 'for traditional')
( 6637 , 'for class')
( 6637 , 'for sophistication')
( 6638 , 'for choosing')
( 6638 , 'for selecting')
( 6639 , 'for chilly')
( 6639 , 'for cold')
( 6640 , 'for children')
( 6640 , 'for youngsters')
( 6640 , 'for kids')
( 6641 , 'for cheap')
( 6641 , 'for reasonable')
( 6641 , 'for affordable')
( 6642 , 'for centuries')
( 6642 , 'for hundreds of years')
( 6643 , 'for canopy')
( 6643 , 'for cover')
( 6644 , 'for buying')
( 6644 , 'for purchasing')
( 6644 , 'for getting')
( 6645 , 'for boosting')
( 6645 , 'for enhancing')
( 6645 , 'for reinforcing')
( 6646 , 'for big')
( 6646 , 'for giant')
( 6646 , 'for large')
( 6647 , 'for bathroom')
( 6647 , 'for toilet')
( 6647 , 'for lavatory')
( 6648 , 'for bags')
( 6648 , 'for baggage')
( 6648 , 'for luggage')
( 6649 , 'for baggage')
( 6649 , 'for luggage')
( 6649 , 'for bags')
( 6650 , 'for approximately')
( 6650 , 'for about')
( 6650 , 'for roughly')
( 6651 , 'for apparel')
( 6651 , 'for attire')
( 6652 , 'for another')
( 6652 , 'for an additional')
( 6652 , 'for one more')
( 6653 , 'for almost')
( 6653 , 'for nearly')
( 6654 , 'for additonal')
( 6654 , 'for extra')
( 6654 , 'for added')
( 6655 , 'for additional')
( 6655 , 'for extra')
( 6655 , 'for added')
( 6656 , 'for academic')
( 6656 , 'for tutorial')
( 6656 , 'for educational')
( 6657 , 'for 6')
( 6657 , 'for six')
( 6658 , 'for 5')
( 6658 , 'for five')
( 6659 , 'for 24')
( 6659 , 'for twenty-four')
( 6660 , 'for 2')
( 6660 , 'for two')
( 6661 , 'fond of')
( 6661 , 'keen on ')
( 6662 , 'following few')
( 6662 , 'next few')
( 6662 , 'following couple of')
( 6663 , 'focusing on')
( 6663 , 'specializing in')
( 6664 , 'focus on')
( 6664 , 'specialise in')
( 6664 , 'specialize in')
( 6664 , 'concentrate on')
( 6665 , 'focal point')
( 6665 , 'focus')
( 6665 , 'point of interest')
( 6666 , 'flower displays')
( 6666 , 'floral arrangements')
( 6666 , 'flower arrangements')
( 6667 , 'flesh presser')
( 6667 , 'politician')
( 6667 , 'baby-kisser')
( 6668 , 'fix things')
( 6668 , 'make things better')
( 6668 , 'sort things')
( 6669 , 'fit your')
( 6669 , 'suit your')
( 6670 , 'fit you')
( 6670 , 'suit you')
( 6670 , 'fit your needs')
( 6671 , 'fit in')
( 6671 , 'slot in')
( 6672 , 'first thing')
( 6672 , 'very first thing')
( 6673 , 'first class')
( 6673 , 'first-class')
( 6673 , 'firstclass')
( 6673 , 'top notch')
( 6673 , 'top quality')
( 6674 , 'first actual')
( 6674 , 'very first')
( 6675 , 'finishing touch')
( 6675 , 'final touch')
( 6675 , 'crowning glory')
( 6675 , 'of completion')
( 6675 , 'of entirety')
( 6675 , 'completion ')
( 6676 , 'find yourself')
( 6676 , 'end up')
( 6677 , 'filled with')
( 6677 , 'crammed with')
( 6677 , 'full of')
( 6677 , 'stuffed with')
( 6678 , 'figuring out')
( 6678 , 'determining')
( 6679 , 'figure out')
( 6679 , 'work out')
( 6679 , 'determine ')
